        size,          ops,         time,      op/time
        1024,    156250000,     0.186817,   8.3638e+08
        2048,    156249984,     0.185060,  8.44321e+08
        3072,    156249984,     0.183845,  8.49901e+08
        4096,    156249984,     0.181470,  8.61024e+08
        5120,    156250000,     0.217105,  7.19698e+08
        6144,    156249984,     0.209915,  7.44349e+08
        7168,    156249968,     0.205660,  7.59749e+08
        8192,    156249984,     0.203317,  7.68504e+08
        9216,    156249936,     0.197409,  7.91504e+08
       10240,    156249920,     0.196760,  7.94114e+08
       11264,    156249984,     0.196049,  7.96994e+08
       12288,    156249984,     0.195719,  7.98338e+08
       13312,    156249808,     0.192829,  8.10302e+08
       14336,    156249856,     0.196097,  7.96799e+08
       15360,    156249840,     0.192104,  8.13361e+08
       16384,    156249856,     0.190512,  8.20158e+08
       17408,    156249856,     0.192776,  8.10526e+08
       18432,    156249792,     0.188849,   8.2738e+08
       19456,    156249920,     0.190628,  8.19659e+08
       20480,    156249920,     0.189197,  8.25858e+08
       21504,    156249744,     0.193174,  8.08855e+08
       22528,    156249984,     0.188363,  8.29515e+08
       23552,    156249856,     0.190699,  8.19353e+08
       24576,    156249984,     0.186109,  8.39562e+08
       25600,    156250000,     0.189876,  8.22905e+08
       26624,    156249600,     0.184921,  8.44953e+08
       27648,    156249648,     0.190480,  8.20294e+08
       28672,    156249856,     0.185941,   8.4032e+08
       29696,    156249680,     0.182766,  8.54917e+08
       30720,    156249600,     0.187496,  8.33349e+08
       31744,    156249920,     0.189122,  8.26186e+08
       32768,    156249600,     0.186435,  8.38092e+08
       33792,    156249984,     0.202194,  7.72773e+08
       34816,    156249856,     0.249926,  6.25184e+08
       35840,    156249520,     0.330013,  4.73465e+08
       36864,    156249792,     0.399170,  3.91437e+08
       37888,    156249520,     0.414704,  3.76774e+08
       38912,    156249920,     0.410214,  3.80899e+08
       39936,    156249600,     0.400200,  3.90429e+08
       40960,    156249600,     0.409462,  3.81597e+08
       41984,    156249360,     0.406694,  3.84194e+08
       43008,    156249408,     0.428051,  3.65025e+08
       44032,    156249616,     0.425827,  3.66932e+08
       45056,    156249984,     0.404752,  3.86039e+08
       46080,    156249360,     0.403922,  3.86831e+08
       47104,    156249856,     0.417621,  3.74143e+08
       48128,    156249808,     0.412266,  3.79002e+08
       49152,    156249600,     0.437967,  3.56761e+08
       50176,    156249632,     0.418791,  3.73097e+08
       51200,    156249600,     0.413493,  3.77877e+08
       52224,    156249312,     0.401746,  3.88926e+08
       53248,    156249600,     0.404638,  3.86147e+08
       54272,    156249936,     0.398956,  3.91647e+08
       55296,    156249216,     0.414720,  3.76758e+08
       56320,    156249280,     0.405357,  3.85461e+08
       57344,    156249856,     0.432861,   3.6097e+08
       58368,    156249312,     0.406858,  3.84039e+08
       59392,    156249216,     0.409913,  3.81177e+08
       60416,    156249936,     0.400185,  3.90444e+08
       61440,    156249600,     0.405246,  3.85567e+08
       62464,    156249792,     0.411336,  3.79859e+08
       63488,    156249920,     0.433874,  3.60127e+08
       64512,    156249072,     0.459486,  3.40052e+08
       65536,    156249088,     0.476266,  3.28071e+08
       66560,    156249600,     0.438097,  3.56655e+08
       67584,    156249984,     0.405978,  3.84873e+08
       68608,    156249360,     0.414161,  3.77267e+08
       69632,    156249856,     0.405721,  3.85117e+08
       70656,    156249120,     0.414894,    3.766e+08
       71680,    156248960,     0.441907,  3.53579e+08
       72704,    156249984,     0.417947,  3.73851e+08
       73728,    156249216,     0.404965,  3.85834e+08
       74752,    156249200,     0.410106,  3.80997e+08
       75776,    156248928,     0.406269,  3.84595e+08
       76800,    156249600,     0.422598,  3.69736e+08
       77824,    156249920,     0.407456,  3.83477e+08
       78848,    156249632,     0.407471,  3.83462e+08
       79872,    156249600,     0.407934,  3.83027e+08
       80896,    156249360,     0.413710,  3.77678e+08
