        size,          ops,         time,      time/op
      512000,      5120000,     0.005700,  8.98246e+08
      512000,      5120000,     0.005816,   8.8033e+08
      512000,      5120000,     0.006098,   8.3962e+08
      512000,      5120000,     0.004498,  1.13828e+09
      512000,      5120000,     0.008009,  6.39281e+08
      512000,      5120000,     0.008714,   5.8756e+08
      512000,      5120000,     0.012627,   4.0548e+08
      512000,      5120000,     0.012560,  4.07643e+08
      512000,      5120000,     0.009764,  5.24375e+08
      512000,      5120000,     0.009493,  5.39345e+08
      512000,      5120000,     0.009713,  5.27129e+08
      512000,      5120000,     0.009785,   5.2325e+08
      512000,      5120000,     0.010273,  4.98394e+08
      512000,      5120000,     0.010835,  4.72543e+08
      512000,      5120000,     0.011553,  4.43175e+08
      512000,      5120000,     0.012625,  4.05545e+08
      512000,      5120000,     0.011411,   4.4869e+08
      512000,      5120000,     0.010975,  4.66515e+08
      512000,      5120000,     0.013540,  3.78139e+08
      512000,      5120000,     0.015316,  3.34291e+08
      512000,      5120000,     0.016001,   3.1998e+08
      512000,      5120000,     0.016251,  3.15058e+08
      512000,      5120000,     0.017896,  2.86097e+08
      512000,      5120000,     0.018133,  2.82358e+08
      512000,      5120000,     0.018749,  2.73081e+08
      512000,      5120000,     0.019417,  2.63686e+08
      512000,      5120000,     0.020696,  2.47391e+08
      512000,      5120000,     0.020252,  2.52815e+08
      512000,      5120000,     0.021056,  2.43161e+08
      512000,      5120000,     0.022872,  2.23854e+08
      512000,      5120000,     0.024677,  2.07481e+08
      512000,      5120000,     0.028141,  1.81941e+08
      512000,      5120000,     0.030660,  1.66993e+08
      512000,      5120000,     0.025341,  2.02044e+08
      512000,      5120000,     0.029518,  1.73453e+08
      512000,      5120000,     0.056319,  9.09107e+07
      512000,      5120000,     0.037797,   1.3546e+08
      512000,      5120000,     0.044832,  1.14204e+08
      512000,      5120000,     0.037498,  1.36541e+08
      512000,      5120000,     0.043265,   1.1834e+08
      512000,      5120000,     0.053133,   9.6362e+07
      512000,      5120000,     0.053501,  9.56992e+07
      512000,      5120000,     0.027980,  1.82988e+08
      512000,      5120000,     0.022184,  2.30797e+08
      512000,      5120000,     0.032863,  1.55798e+08
      512000,      5120000,     0.028986,  1.76637e+08
      512000,      5120000,     0.027479,  1.86324e+08
      512000,      5120000,     0.024571,  2.08376e+08
      512000,      5120000,     0.025168,  2.03433e+08
      512000,      5120000,     0.034525,  1.48298e+08
      512000,      5120000,     0.032365,  1.58196e+08
      512000,      5120000,     0.035463,  1.44376e+08
      512000,      5120000,     0.026464,   1.9347e+08
      512000,      5120000,     0.025475,  2.00981e+08
      512000,      5120000,     0.021967,  2.33077e+08
      512000,      5120000,     0.022175,  2.30891e+08
      512000,      5120000,     0.024488,  2.09082e+08
      512000,      5120000,     0.023646,  2.16527e+08
      512000,      5120000,     0.020597,   2.4858e+08
      512000,      5120000,     0.018914,  2.70699e+08
      512000,      5120000,     0.026191,  1.95487e+08
      512000,      5120000,     0.029510,  1.73501e+08
      512000,      5120000,     0.035009,  1.46248e+08
      512000,      5120000,     0.044631,  1.14718e+08
      512000,      5120000,     0.037467,  1.36654e+08
      512000,      5120000,     0.034844,  1.46941e+08
      512000,      5120000,     0.035326,  1.44936e+08
      512000,      5120000,     0.026947,  1.90003e+08
      512000,      5120000,     0.019406,  2.63836e+08
      512000,      5120000,     0.029612,  1.72903e+08
      512000,      5120000,     0.028912,  1.77089e+08
      512000,      5120000,     0.025288,  2.02468e+08
      512000,      5120000,     0.030233,  1.69351e+08
      512000,      5120000,     0.023292,  2.19818e+08
      512000,      5120000,     0.036688,  1.39555e+08
      512000,      5120000,     0.030047,    1.704e+08
      512000,      5120000,     0.027534,  1.85952e+08
      512000,      5120000,     0.034650,  1.47763e+08
